name,true_identity,description,comics,publisher,superpowers
Black Canary,Dinah Lance, a martial artist with a supersonic scream,Flash Comics,DC Comics,"Sonic scream, expert martial artist, peak human physical condition"
Vision,Vision,An android created by Ultron and powered by an Infinity Stone,The Avengers,Marvel Comics,"Superhuman strength, density manipulation, flight, energy projection"
Martian Manhunter,J'onn J'onzz, a shape-shifting alien from Mars,Detective Comics,DC Comics,"Shape-shifting, telepathy, super strength, flight, invisibility"
Storm,Ororo Munroe, a mutant who can control the weather,Giant-Size X-Men,Marvel Comics,"Weather manipulation, flight, energy projection, electrokinesis"
Nightwing,Dick Grayson, the first Robin who became his own hero,Detective Comics,DC Comics,"Acrobatics, martial arts expertise, detective skills, leadership"
Jean Grey,Jean Grey,A powerful telepath and telekinetic mutant,X-Men,Marvel Comics,"Telepathy, telekinesis, cosmic powers as Phoenix"
Shazam,Billy Batson, a young boy who transforms into an adult superhero,Whiz Comics,DC Comics,"Superhuman strength, flight, lightning manipulation, wisdom of Solomon"
Beast,Hank McCoy, a brilliant scientist with animal-like abilities,X-Men,Marvel Comics,"Superhuman strength, agility, enhanced senses, genius-level intellect"
Batgirl,Barbara Gordon, a tech-savvy vigilante and information broker,Detective Comics,DC Comics,"Genius-level intellect, expert martial artist, computer expertise"
Gambit,Remy LeBeau, a mutant with the power to charge objects with energy,Uncanny X-Men,Marvel Comics,"Kinetic energy manipulation, expert card thrower, charm powers"
Wasp,Janet van Dyne, a fashion designer with size-changing abilities,Tales to Astonish,Marvel Comics,"Size manipulation, flight, bio-electric energy blasts"
Zatanna,Zatanna Zatara, a stage magician with real magical powers,Hawkman,DC Comics,"Spellcasting, magical manipulation, illusion creation"
Cyclops,Scott Summers, the leader of the X-Men with optic blast powers,X-Men,Marvel Comics,"Optic energy blasts, tactical genius, leadership skills"
Supergirl,Kara Zor-El, Superman's cousin from Krypton,Action Comics,DC Comics,"Flight, super strength, heat vision, freeze breath"
Falcon,Sam Wilson, a former pararescue airman with mechanical wings,Captain America,Marvel Comics,"Flight via wing harness, enhanced physical abilities, telepathic link with birds"
Batwoman,Kate Kane, a former military officer turned vigilante,52,DC Comics,"Expert martial artist, detective skills, military tactics"
Luke Cage,Carl Lucas, a man with unbreakable skin and superhuman strength,Luke Cage: Hero for Hire,Marvel Comics,"Superhuman strength, unbreakable skin, accelerated healing"
Starfire,Koriand'r, an alien princess with energy-based powers,DC Comics Presents,DC Comics,"Flight, energy projection, superhuman strength"
Quicksilver,Pietro Maximoff, a mutant with superhuman speed,X-Men,Marvel Comics,"Superhuman speed, accelerated perception, enhanced physiology"
Raven,Rachel Roth, a half-demon empath with dark powers,DC Comics Presents,DC Comics,"Empathy, telekinesis, teleportation, magic manipulation"
Moon Knight,Marc Spector, a vigilante with multiple personalities,Werewolf by Night,Marvel Comics,"Expert combatant, enhanced strength (tied to lunar cycle), high-tech gadgets"
Firestorm,Ronnie Raymond and Martin Stein, fused into a nuclear-powered hero,Firestorm,DC Comics,"Matter transmutation, energy projection, flight"
She-Hulk,Jennifer Walters, a lawyer with Hulk-like powers,Savage She-Hulk,Marvel Comics,"Superhuman strength, durability, regenerative healing factor"
Atom,Ray Palmer, a physicist who can shrink to subatomic sizes,Showcase,DC Comics,"Size manipulation, control over own atomic structure, genius-level intellect"
Nova,Richard Rider, a member of the intergalactic Nova Corps,Nova,Marvel Comics,"Flight, energy projection, superhuman strength, cosmic awareness"
Plastic Man,Eel O'Brian, a former criminal with elastic powers,Police Comics,DC Comics,"Elasticity, shape-shifting, invulnerability to physical harm"
Ghost Rider,Johnny Blaze, a stunt motorcyclist bonded with a demon,Marvel Spotlight,Marvel Comics,"Hellfire manipulation, penance stare, superhuman strength, demonic motorcycle"
